date,name,count,group.max,group.ge10,group.ge12,group.ge15,group.ge20,group.top,row.max,row.ge10,row.ge12,row.ge15,row.ge20,row.top,col6.max,col6.ge30,col6.ge50,col6.top,col3.max,col3.ge30,col3.ge50,col3.ge80,col3.top,number.max,number.ge200,number.ge300,number.top
2019-04-02,20190401-下午,78,13,4,1,0,0,一组 13 #7-20,14,2,2,0,0,1行 14 #3-17,35,2,0,28-33 35 #37-72,57,8,1,0,31-33 57 #15-72,78,0,0,4 78 未结束 #0-78
2019-10-11,20191011上午-喜来登-老,189,14,5,2,0,0,一组 14 #36-50,12,2,1,0,0,3行 12 #116-128,41,2,0,28-33 41 #104-145,65,18,3,0,28-30 65 #80-145,131,0,0,5 131 #11-142
2019-10-11,20191011-下午,110,18,3,1,1,0,一组 18 #62-80,14,2,2,0,0,1行 14 #44-58,62,1,1,4-9 62 #46-108,70,7,2,0,4-6 70 #38-108,110,0,0,4 110 未结束 #0-110
2019-10-12,20191012-上午,204,16,5,5,1,0,三组 16 #0-16,13,2,1,0,0,1行 13 #185-198,38,1,0,31-36 38 #0-38,74,15,3,0,34-36 74 #94-168,191,0,0,31 191 #0-191
2019-11-17,20191117-晚上-巴黎人,161,17,2,1,1,0,三组 17 #8-25,11,2,0,0,0,3行 11 #0-11,27,0,0,22-27 27 #118-145,44,13,0,0,10-12 44 #45-89,152,0,0,27 152 #0-152
2019-11-17,20191009-初到-喜来登-新,42,10,1,0,0,0,二组 10 #18-28,9,0,0,0,0,2行 9 #32-41,21,0,0,4-9 21 未结束 #21-42,40,2,0,0,4-6 40 未结束 #2-42,42,0,0,0 42 未结束 #0-42
2019-11-17,20191009-晚上-假日-新,270,14,10,6,0,0,二组 14 #228-242,16,4,2,1,0,2行 16 #132-148,61,2,1,13-18 61 未结束 #209-270,95,16,3,1,31-33 95 #167-262,177,0,0,17 177 未结束 #93-270
2019-11-17,20191010-清晨-喜来登-电,498,11,5,0,0,0,二组 11 #60-71,16,7,4,2,0,3行 16 #136-152,39,3,0,25-30 39 #16-55,62,35,4,0,25-27 62 #3-65,201,1,0,4 201 #117-318
2019-11-17,20191010-晚上-喜来登-老,92,12,3,1,0,0,一组 12 #22-34,11,3,0,0,0,2行 11 #68-79,23,0,0,7-12 23 #13-36,45,4,0,0,34-36 45 #31-76,92,0,0,6 92 未结束 #0-92
2019-11-18,20191118-下午-巴黎人-新,30,6,0,0,0,0,三组 6 #4-10,16,1,1,1,0,1行 16 #0-16,16,0,0,13-18 16 #13-29,28,0,0,0,22-24 28 未结束 #2-30,30,0,0,1 30 未结束 #0-30
2019-11-18,20191118-上下午-巴黎人老,432,14,8,3,0,0,二组 14 #327-341,20,7,4,3,1,3行 20 #295-315,49,4,0,10-15 49 #359-408,62,32,7,0,28-30 62 #0-62,238,2,0,20 238 #62-300
2019-11-18,20191118-晚上-喜来登,95,16,3,2,1,0,三组 16 #7-23,13,3,1,0,0,3行 13 #27-40,27,0,0,25-30 27 #7-34,50,5,1,0,25-27 50 #7-57,95,0,0,4 95 未结束 #0-95
2019-11-19,20191119-上午-巴黎人-老,223,13,1,1,0,0,一组 13 #48-61,15,5,4,1,0,2行 15 #177-192,40,3,0,4-9 40 #137-177,66,18,3,0,10-12 66 #0-66,185,0,0,24 185 #0-185
2021-04-23,wzs-2021-04-23-061,212,20,2,2,2,1,三组 20 #37-57,14,7,2,0,0,3行 14 #162-176,44,4,0,28-33 44 #65-109,74,15,7,0,31-33 74 #35-109,156,0,0,29 156 #0-156
2021-04-23,wzs-2021-04-23-062,272,16,6,1,1,0,一组 16 #65-81,18,3,1,1,0,3行 18 #167-185,35,3,0,31-36 35 #177-212,69,20,3,0,31-33 69 #156-225,202,1,0,5 202 #0-202
2021-04-23,wzs-2021-04-23-063,613,20,16,6,2,1,一组 20 #196-216,15,12,7,1,0,2行 15 #519-534,57,5,1,28-33 57 #330-387,66,40,8,0,22-24 66 #493-559,204,1,0,22 204 #355-559
2021-04-23,wzs-2021-04-23-065,360,15,6,3,1,0,三组 15 #60-75,11,2,0,0,0,3行 11 #29-40,39,2,0,25-30 39 #44-83,79,22,5,0,28-30 79 #202-281,170,0,0,28 170 #158-328
2021-04-23,wzs-2021-04-23-066,318,18,7,3,2,0,一组 18 #103-121,15,5,2,1,0,1行 15 #1-16,38,4,0,4-9 38 #0-38,86,32,4,1,34-36 86 #160-246,214,1,0,34 214 #70-284
2021-04-23,wzs-2021-04-23-067,407,14,8,2,0,0,三组 14 #256-270,16,8,6,3,0,2行 16 #7-23,30,1,0,10-15 30 #275-305,82,28,7,1,7-9 82 #2-84,243,2,0,22 243 #106-349
2021-06-17,wzs-2021-06-17-072,214,17,3,2,1,0,二组 17 #87-104,15,5,2,1,0,3行 15 #12-27,31,2,0,22-27 31 #61-92,66,10,2,0,16-18 66 #145-211,199,0,0,5 199 未结束 #15-214
2021-06-17,wzs-2021-06-17-074,106,20,3,1,1,1,一组 20 #81-101,10,2,0,0,0,1行 10 #35-45,30,1,0,7-12 30 #73-103,49,11,0,0,31-33 49 #36-85,106,0,0,10 106 未结束 #0-106
2021-06-17,wzs-2021-06-17-080,209,13,5,2,0,0,三组 13 #48-61,13,6,2,0,0,2行 13 #76-89,27,0,0,10-15 27 #180-207,63,14,3,0,13-15 63 未结束 #146-209,196,0,0,33 196 #0-196
2021-06-17,wzs-2021-06-17-081,109,12,2,1,0,0,三组 12 #44-56,8,0,0,0,0,1行 8 #32-40,33,1,0,28-33 33 #31-64,109,5,1,1,28-30 109 未结束 #0-109,109,0,0,28 109 未结束 #0-109
2021-06-17,20210617-1819,216,14,3,1,0,0,二组 14 #180-194,16,4,3,1,0,2行 16 #145-161,48,2,0,28-33 48 #18-66,65,15,2,0,31-33 65 #16-81,185,0,0,29 185 #18-203
